Molecule Name,Target,Gene,Uniprot,CHEMBL,Target Class,Probability,Active 2D/3D
Bromotopsentin,Muscarinic acetylcholine receptor M3,CHRM3,P20309,CHEMBL245,Family A G protein-coupled receptor,0.1132859535,105 /  0     
Bromotopsentin,Apoptosis regulator Bcl-X,BCL2L1,Q07817,CHEMBL4625,Other ion channel,0.1132859535,12 /  0     
Bromotopsentin,"Indoleamine 2,3-dioxygenase",IDO1,P14902,CHEMBL4685,Enzyme,0.1132859535,22 /  0     
Bromotopsentin,Androgen Receptor,AR,P10275,CHEMBL1871,Nuclear receptor,0.1132859535,85 /  0     
Bromotopsentin,Mineralocorticoid receptor,NR3C2,P08235,CHEMBL1994,Nuclear receptor,0.1132859535,62 /  0     
Bromotopsentin,Glucocorticoid receptor,NR3C1,P04150,CHEMBL2034,Nuclear receptor,0.1132859535,207 /  0     
Bromotopsentin,Progesterone receptor,PGR,P06401,CHEMBL208,Nuclear receptor,0.1132859535,68 /  0     
Bromotopsentin,Testis-specific androgen-binding protein,SHBG,P04278,CHEMBL3305,Secreted protein,0.1132859535,4 /  0     
Bromotopsentin,LDL-associated phospholipase A2,PLA2G7,Q13093,CHEMBL3514,Enzyme,0.1132859535,26 /  0     
Bromotopsentin,Neurokinin 3 receptor,TACR3,P29371,CHEMBL4429,Family A G protein-coupled receptor,0.1132859535,61 /  0     
Bromotopsentin,Hematopoietic prostaglandin D synthase,HPGDS,O60760,CHEMBL5879,Transferase,0.1132859535,23 /  0     
Bromotopsentin,Serine/threonine-protein kinase Aurora-A,AURKA,O14965,CHEMBL4722,Kinase,0.1132859535,304 /  0     
Bromotopsentin,Platelet-derived growth factor receptor beta,PDGFRB,P09619,CHEMBL1913,Kinase,0.1132859535,88 /  0     
Bromotopsentin,Tyrosinase,TYR,P14679,CHEMBL1973,Oxidoreductase,0.1132859535,5 /  0     
Bromotopsentin,Protein-tyrosine phosphatase 1B,PTPN1,P18031,CHEMBL335,Phosphatase,0.1132859535,72 /  0     
Bromotopsentin,Cytochrome P450 26A1,CYP26A1,O43174,CHEMBL5141,Cytochrome P450,0.1132859535,17 /  0     
Bromotopsentin,Carbonic anhydrase VII,CA7,P43166,CHEMBL2326,Lyase,0.1132859535,45 /  0     
Bromotopsentin,Carbonic anhydrase VI,CA6,P23280,CHEMBL3025,Lyase,0.1132859535,11 /  0     
Bromotopsentin,Carbonic anhydrase XIV,CA14,Q9ULX7,CHEMBL3510,Lyase,0.1132859535,38 /  0     
Bromotopsentin,Carbonic anhydrase XIII   (by homology),CA13,Q8N1Q1,CHEMBL3912,Lyase,0.1132859535,12 /  0     
Bromotopsentin,Carbonic anhydrase VB,CA5B,Q9Y2D0,CHEMBL3969,Lyase,0.1132859535,11 /  0     
Bromotopsentin,Carbonic anhydrase VA,CA5A,P35218,CHEMBL4789,Lyase,0.1132859535,15 /  0     
Bromotopsentin,Apoptosis regulator Bcl-2,BCL2,P10415,CHEMBL4860,Other ion channel,0.1132859535,48 /  0     
Bromotopsentin,Sterol regulatory element-binding protein 2,SREBF2,Q12772,CHEMBL1795166,Unclassified protein,0.1132859535,3 /  0     
Bromotopsentin,Serine/threonine-protein kinase Aurora-B,AURKB,Q96GD4,CHEMBL2185,Kinase,0.1132859535,188 /  0     
Bromotopsentin,Rho-associated protein kinase 2,ROCK2,O75116,CHEMBL2973,Kinase,0.1132859535,341 /  0     
Bromotopsentin,Rho-associated protein kinase 1,ROCK1,Q13464,CHEMBL3231,Kinase,0.1132859535,125 /  0     
Bromotopsentin,Interleukin-1 receptor-associated kinase 4,IRAK4,Q9NWZ3,CHEMBL3778,Kinase,0.1132859535,13 /  0     
Bromotopsentin,Leukotriene B4 receptor 1,LTB4R,Q15722,CHEMBL3911,Family A G protein-coupled receptor,0.1132859535,8 /  0     
Bromotopsentin,Sphingosine kinase 1,SPHK1,Q9NYA1,CHEMBL4394,Enzyme,0.1132859535,7 /  0     
Cissacapine,Dopamine D2 receptor   (by homology),DRD2,P14416,CHEMBL217,Family A G protein-coupled receptor,0.0456882472,235 /  274     
Cissacapine,Multidrug and toxin extrusion protein 1,SLC47A1,Q96FL8,CHEMBL1743126,Electrochemical transporter,0.0358982055,0 /  1     
Cissacapine,Neuronal acetylcholine receptor; alpha3/beta4,CHRNA3 CHRNB4,P32297 P30926,CHEMBL1907594,Ligand-gated ion channel,0.0358982055,0 /  2     
Cissacapine,Neuronal acetylcholine receptor; alpha2/beta4,CHRNB4 CHRNA2,P30926 Q15822,CHEMBL2109230,Ligand-gated ion channel,0.0358982055,0 /  1     
Cissacapine,Neuronal acetylcholine receptor; alpha3/beta2,CHRNA3 CHRNB2,P32297 P17787,CHEMBL2109234,Ligand-gated ion channel,0.0358982055,0 /  1     
Cissacapine,Dopamine transporter   (by homology),SLC6A3,Q01959,CHEMBL238,Electrochemical transporter,0.0358982055,17 /  30     
Cissacapine,Phosphodiesterase 1A,PDE1A,P54750,CHEMBL3421,Phosphodiesterase,0.0358982055,5 /  1     
Cissacapine,Serotonin 1a (5-HT1a) receptor,HTR1A,P08908,CHEMBL214,Family A G protein-coupled receptor,0.0358982055,130 /  85     
Cissacapine,Butyrylcholinesterase,BCHE,P06276,CHEMBL1914,Hydrolase,0.0358982055,37 /  10     
Cissacapine,Neuronal acetylcholine receptor; alpha4/beta2,CHRNA4 CHRNB2,P43681 P17787,CHEMBL1907589,Ligand-gated ion channel,0.0358982055,1 /  8     
Cissacapine,Dopamine D3 receptor,DRD3,P35462,CHEMBL234,Family A G protein-coupled receptor,0.0358982055,163 /  67     
Cissacapine,Histone deacetylase 2,HDAC2,Q92769,CHEMBL1937,Eraser,0.0358982055,118 /  0     
Cissacapine,Histone deacetylase 1,HDAC1,Q13547,CHEMBL325,Eraser,0.0358982055,364 /  0     
Cissacapine,Bradykinin B2 receptor,BDKRB2,P30411,CHEMBL3157,Family A G protein-coupled receptor,0.0358982055,105 /  0     
Cissacapine,G-protein coupled receptor 55,GPR55,Q9Y2T6,CHEMBL1075322,Family A G protein-coupled receptor,0.0358982055,19 /  0     
Cissacapine,Bromodomain-containing protein 4,BRD4,O60885,CHEMBL1163125,Reader,0.0358982055,77 /  0     
Cissacapine,CREB-binding protein/p53,CREBBP,Q92793,CHEMBL5747,Writer,0.0358982055,28 /  0     
Cissacapine,TGF-beta receptor type I,TGFBR1,P36897,CHEMBL4439,Kinase,0.0358982055,139 /  0     
Cissacapine,Neurokinin 2 receptor,TACR2,P21452,CHEMBL2327,Family A G protein-coupled receptor,0.0358982055,52 /  0     
Cissacapine,Dopamine D1 receptor,DRD1,P21728,CHEMBL2056,Family A G protein-coupled receptor,0.0358982055,25 /  111     
Cissacapine,Protein-glutamine gamma-glutamyltransferase,TGM2,P21980,CHEMBL2730,Enzyme,0.0358982055,69 /  0     
Cissacapine,Protein-glutamine gamma-glutamyltransferase K,TGM1,P22735,CHEMBL2810,Enzyme,0.0358982055,14 /  0     
Cissacapine,Coagulation factor XIII,F13A1,P00488,CHEMBL4530,Aminoacyltransferase,0.0358982055,13 /  0     
Cissacapine,Gonadotropin-releasing hormone receptor,GNRHR,P30968,CHEMBL1855,Family A G protein-coupled receptor,0.0358982055,52 /  0     
Cissacapine,Vasopressin V1b receptor,AVPR1B,P47901,CHEMBL1921,Family A G protein-coupled receptor,0.0358982055,7 /  0     
Cissacapine,HLA class II histocompatibility antigen DRB1-1,HLA-DRB1,P04229,CHEMBL1943,Surface antigen,0.0358982055,23 /  0     
Cissacapine,Sigma opioid receptor,SIGMAR1,Q99720,CHEMBL287,Membrane receptor,0.0358982055,27 /  29     
Cissacapine,Motilin receptor,MLNR,O43193,CHEMBL2203,Family A G protein-coupled receptor,0.0358982055,28 /  0     
Cissacapine,Phosphodiesterase 10A,PDE10A,Q9Y233,CHEMBL4409,Phosphodiesterase,0.0358982055,790 /  0     
Cissacapine,Nerve growth factor receptor Trk-A,NTRK1,P04629,CHEMBL2815,Kinase,0.0358982055,259 /  0     
Cissacapine,"Nitric oxide synthase, inducible   (by homology)",NOS2,P35228,CHEMBL4481,Enzyme,0.0358982055,59 /  0     
Cissacapine,Serine/threonine-protein kinase Aurora-B,AURKB,Q96GD4,CHEMBL2185,Kinase,0.0358982055,201 /  0     
Cissacapine,Tyrosine-protein kinase SYK,SYK,P43405,CHEMBL2599,Kinase,0.0358982055,353 /  0     
Cissacapine,Ribosomal protein S6 kinase 1,RPS6KB1,P23443,CHEMBL4501,Kinase,0.0358982055,119 /  0     
Cissacapine,Serine/threonine-protein kinase Aurora-A,AURKA,O14965,CHEMBL4722,Kinase,0.0358982055,369 /  0     
Cissacapine,Insulin-like growth factor I receptor,IGF1R,P08069,CHEMBL1957,Kinase,0.0358982055,247 /  0     
Cissacapine,Adenosine A1 receptor,ADORA1,P30542,CHEMBL226,Family A G protein-coupled receptor,0.0358982055,293 /  0     
Cissacapine,Adenosine A2a receptor,ADORA2A,P29274,CHEMBL251,Family A G protein-coupled receptor,0.0358982055,248 /  0     
Cissacapine,Cathepsin K,CTSK,P43235,CHEMBL268,Protease,0.0358982055,211 /  0     
Cissacapine,Vascular endothelial growth factor receptor 2,KDR,P35968,CHEMBL279,Kinase,0.0358982055,637 /  0     
Cissacapine,Carbonic anhydrase IV,CA4,P22748,CHEMBL3729,Lyase,0.0358982055,11 /  0     
Cissacapine,Complement factor D,CFD,P00746,CHEMBL2176771,Protease,0.0358982055,284 /  0     
Cissacapine,MAP kinase p38 alpha,MAPK14,Q16539,CHEMBL260,Kinase,0.0358982055,648 /  0     
Cissacapine,Transitional endoplasmic reticulum ATPase,VCP,P55072,CHEMBL1075145,Primary active transporter,0.0358982055,33 /  0     
Cissacapine,Neuropeptides B/W receptor type 1,NPBWR1,P48145,CHEMBL1293293,Family A G protein-coupled receptor,0.0358982055,24 /  0     
Cissacapine,Gamma-secretase,PSEN2 PSENEN NCSTN APH1A PSEN1 APH1B,P49810 Q9NZ42 Q92542 Q96BI3 P49768 Q8WW43,CHEMBL2094135,Protease,0.0358982055,148 /  0     
Cissacapine,3-phosphoinositide dependent protein kinase-1,PDPK1,O15530,CHEMBL2534,Kinase,0.0358982055,102 /  0     
Cissacapine,Tyrosine-protein kinase receptor FLT3,FLT3,P36888,CHEMBL1974,Kinase,0.0358982055,120 /  0     
Cissacapine,Cyclin-dependent kinase 2/cyclin E,CCNE2 CDK2 CCNE1,O96020 P24941 P24864,CHEMBL2094126,Other cytosolic protein,0.0358982055,48 /  0     
Cissacapine,Melanocortin receptor 4,MC4R,P32245,CHEMBL259,Family A G protein-coupled receptor,0.0358982055,35 /  0     
Cissacapine,Cyclin-dependent kinase 4,CDK4,P11802,CHEMBL331,Kinase,0.0358982055,53 /  0     
Cissacapine,Bromodomain-containing protein 2,BRD2,P25440,CHEMBL1293289,Reader,0.0358982055,44 /  0     
Cissacapine,Bromodomain-containing protein 3,BRD3,Q15059,CHEMBL1795186,Reader,0.0358982055,45 /  0     
Cissacapine,Phosphodiesterase 3,PDE3A,Q14432,CHEMBL241,Phosphodiesterase,0.0358982055,61 /  0     
Cissacapine,Phosphodiesterase 4A,PDE4A,P27815,CHEMBL254,Phosphodiesterase,0.0358982055,113 /  0     
Cissacapine,Receptor protein-tyrosine kinase erbB-2,ERBB2,P04626,CHEMBL1824,Kinase,0.0358982055,99 /  0     
Cissacapine,Epidermal growth factor receptor erbB1,EGFR,P00533,CHEMBL203,Kinase,0.0358982055,309 /  0     
Cissacapine,Peptidyl-prolyl cis-trans isomerase FKBP5,FKBP5,Q13451,CHEMBL2052031,Enzyme,0.0358982055,30 /  0     
Cissacapine,Coagulation factor VII/tissue factor,F3 F7,P13726 P08709,CHEMBL2095194,Protease,0.0358982055,7 /  0     
Cissacapine,Matrix metalloproteinase 13,MMP13,P45452,CHEMBL280,Protease,0.0358982055,139 /  0     
Cissacapine,Phosphodiesterase 4D,PDE4D,Q08499,CHEMBL288,Phosphodiesterase,0.0358982055,76 /  0     
Cissacapine,Tyrosine-protein kinase HCK,HCK,P08631,CHEMBL3234,Kinase,0.0358982055,36 /  0     
Cissacapine,MAP kinase p38 gamma,MAPK12,P53778,CHEMBL4674,Kinase,0.0358982055,30 /  0     
Cissacapine,Poly [ADP-ribose] polymerase 2,PARP2,Q9UGN5,CHEMBL5366,Enzyme,0.0358982055,6 /  0     
Cissacapine,Tankyrase-2,TNKS2,Q9H2K2,CHEMBL6154,Enzyme,0.0358982055,27 /  0     
Cissacapine,Tankyrase-1,TNKS,O95271,CHEMBL6164,Enzyme,0.0358982055,48 /  0     
Cissacapine,Serotonin 4 (5-HT4) receptor,HTR4,Q13639,CHEMBL1875,Family A G protein-coupled receptor,0.0358982055,18 /  0     
Cissacapine,Adenosine A2b receptor,ADORA2B,P29275,CHEMBL255,Family A G protein-coupled receptor,0.0358982055,96 /  0     
Cissacapine,Hepatocyte growth factor receptor,MET,P08581,CHEMBL3717,Kinase,0.0358982055,505 /  0     
Cissacapine,Calpain 1,CAPN1,P07384,CHEMBL3891,Protease,0.0358982055,172 /  0     
Cissacapine,Sodium channel protein type V alpha subunit,SCN5A,Q14524,CHEMBL1980,Voltage-gated ion channel,0.0358982055,23 /  0     
Cissacapine,Histone deacetylase 3/NCoR1,NCOR1 HDAC3,O75376 O15379,CHEMBL3038484,Eraser,0.0358982055,7 /  0     
Cissacapine,DNA-dependent protein kinase,PRKDC,P78527,CHEMBL3142,Kinase,0.0358982055,37 /  0     
Cissacapine,Sodium channel protein type IX alpha subunit,SCN9A,Q15858,CHEMBL4296,Voltage-gated ion channel,0.0358982055,126 /  0     
Cissacapine,Alpha-1d adrenergic receptor,ADRA1D,P25100,CHEMBL223,Family A G protein-coupled receptor,0.0358982055,61 /  2     
Cissacapine,Alpha-1a adrenergic receptor,ADRA1A,P35348,CHEMBL229,Family A G protein-coupled receptor,0.0358982055,78 /  11     
Cissacapine,Alpha-1b adrenergic receptor,ADRA1B,P35368,CHEMBL232,Family A G protein-coupled receptor,0.0358982055,57 /  7     
Cissacapine,Phosphodiesterase 3B,PDE3B,Q13370,CHEMBL290,Phosphodiesterase,0.0358982055,58 /  0     
Cissacapine,Hexokinase type IV,GCK,P35557,CHEMBL3820,Enzyme,0.0358982055,62 /  0     
Cissacapine,Voltage-gated potassium channel subunit Kv1.5,KCNA5,P22460,CHEMBL4306,Voltage-gated ion channel,0.0358982055,75 /  0     
Cissacapine,Serotonin 2a (5-HT2a) receptor,HTR2A,P28223,CHEMBL224,Family A G protein-coupled receptor,0.0358982055,195 /  50     
Cissacapine,Corticotropin releasing factor receptor 1,CRHR1,P34998,CHEMBL1800,Family B G protein-coupled receptor,0.0358982055,208 /  0     
Cissacapine,Calpain 2,CAPN2,P17655,CHEMBL2382,Protease,0.0358982055,44 /  0     
Cissacapine,Adenosine A3 receptor,ADORA3,P0DMS8,CHEMBL256,Family A G protein-coupled receptor,0.0358982055,189 /  0     
Cissacapine,Matrix metalloproteinase 3,MMP3,P08254,CHEMBL283,Protease,0.0358982055,100 /  0     
Cissacapine,Tyrosine-protein kinase ITK/TSK,ITK,Q08881,CHEMBL2959,Kinase,0.0358982055,155 /  0     
Cissacapine,Matrix metalloproteinase 9,MMP9,P14780,CHEMBL321,Protease,0.0358982055,168 /  0     
Cissacapine,Matrix metalloproteinase 1,MMP1,P03956,CHEMBL332,Protease,0.0358982055,165 /  0     
Cissacapine,Matrix metalloproteinase 2,MMP2,P08253,CHEMBL333,Protease,0.0358982055,197 /  0     
Cissacapine,Matrix metalloproteinase 14,MMP14,P50281,CHEMBL3869,Protease,0.0358982055,42 /  0     
Cissacapine,Matrix metalloproteinase 7,MMP7,P09237,CHEMBL4073,Protease,0.0358982055,30 /  0     
Cissacapine,Phosphodiesterase 5A,PDE5A,O76074,CHEMBL1827,Phosphodiesterase,0.0358982055,206 /  0     
Cissacapine,Macrophage colony stimulating factor receptor,CSF1R,P07333,CHEMBL1844,Kinase,0.0358982055,143 /  0     
Cissacapine,Appetite-regulating hormone,GHRL,Q9UBU3,CHEMBL1921664,Unclassified protein,0.0358982055,39 /  0     
Cissacapine,Inhibitor of nuclear factor kappa B kinase beta subunit,IKBKB,O14920,CHEMBL1991,Kinase,0.0358982055,71 /  0     
Cissacapine,Type-1 angiotensin II receptor,AGTR1,P30556,CHEMBL227,Family A G protein-coupled receptor,0.0358982055,270 /  0     
Cissacapine,Platelet activating factor receptor,PTAFR,P25105,CHEMBL250,Family A G protein-coupled receptor,0.0358982055,83 /  0     
Cissacapine,Inhibitor of NF-kappa-B kinase (IKK),CHUK,O15111,CHEMBL3476,Kinase,0.0358982055,20 /  0     
Cissacapine,Chymase,CMA1,P23946,CHEMBL4068,Protease,0.0358982055,54 /  0     
Cissacapine,Proteasome Macropain subunit MB1,PSMB5,P28074,CHEMBL4662,Protease,0.0358982055,65 /  0     
20(29)-Lupene-3β-isoferulate,Leukocyte elastase,ELANE,P08246,CHEMBL248,Protease,0.122098887,0 /  2     
20(29)-Lupene-3β-isoferulate,DNA polymerase beta   (by homology),POLB,P06746,CHEMBL2392,Enzyme,0.0745649542,0 /  3     
20(29)-Lupene-3β-isoferulate,Hepatocyte growth factor receptor,MET,P08581,CHEMBL3717,Kinase,0.0745649542,0 /  23     
20(29)-Lupene-3β-isoferulate,Arachidonate 5-lipoxygenase,ALOX5,P09917,CHEMBL215,Oxidoreductase,0.0745649542,0 /  39     
20(29)-Lupene-3β-isoferulate,Endothelin receptor ET-A   (by homology),EDNRA,P25101,CHEMBL252,Family A G protein-coupled receptor,0.0745649542,0 /  17     
20(29)-Lupene-3β-isoferulate,Monoamine oxidase B,MAOB,P27338,CHEMBL2039,Oxidoreductase,0.0745649542,0 /  17     
20(29)-Lupene-3β-isoferulate,Dual-specificity tyrosine-phosphorylation regulated kinase 1A,DYRK1A,Q13627,CHEMBL2292,Kinase,0.0745649542,0 /  8     
20(29)-Lupene-3β-isoferulate,Dual specificty protein kinase CLK1,CLK1,P49759,CHEMBL4224,Kinase,0.0745649542,0 /  3     
20(29)-Lupene-3β-isoferulate,Dual specificity tyrosine-phosphorylation-regulated kinase 1B,DYRK1B,Q9Y463,CHEMBL5543,Kinase,0.0745649542,0 /  7     
20(29)-Lupene-3β-isoferulate,Aldose reductase,AKR1B1,P15121,CHEMBL1900,Enzyme,0.0745649542,0 /  23     
20(29)-Lupene-3β-isoferulate,Aldo-keto reductase family 1 member B10,AKR1B10,O60218,CHEMBL5983,Enzyme,0.0745649542,0 /  18     
20(29)-Lupene-3β-isoferulate,Matrix metalloproteinase 13,MMP13,P45452,CHEMBL280,Protease,0.0745649542,0 /  3     
20(29)-Lupene-3β-isoferulate,Matrix metalloproteinase 12,MMP12,P39900,CHEMBL4393,Protease,0.0745649542,0 /  5     
